appid,name,price_usd,release_year,short_desc,developers,publishers,genres_official,user_tags,review_summary,review_count,avg_playtime,med_playtime
857370,The Entity,2.39,2018,The Entity is a first person horror game based in your deceased grandmothers house. You wake up to strange noises you remember hearing when you were a child. You must go investigate!,Ragdoll Inc,Ragdoll Inc,Action|Casual|Indie|Strategy,Action|Indie|Casual|Strategy|Horror|Gore|Singleplayer|First-Person|Survival Horror|Dark|Psychological Horror|Great Soundtrack|Sci-fi|Aliens|Adventure|Atmospheric|Realistic|Replay Value|Soundtrack|3D Vision,Mostly Negative,21,0,0
857540,Soviet Bear Uni Adventure,9.75,2019,Soviet Bear Uni Adventure is a painfully challenging physics-based action/adventure game. Pedal and lean to stay upright and overcome each crazy obstacle.,J,J,Action|Adventure|Indie|Simulation,Difficult|Psychological Horror|Singleplayer|Physics|Funny|Platformer|Action|Adventure|Comedy|Replay Value|Third Person|Intentionally Awkward Controls|3D Platformer|Action-Adventure|2.5D|3D|Simulation|Indie,Mostly Positive,63,0,0
857460,∀kashicforce,12.79,2019,"∀kashicforce is a puzzle-game-like, rhythm-game-like game where you input commands to use moves like in a fighting game. The goal is to crush your opponent to a pulp with an immense amount of blocks.",Endless Shirafu,Fruitbat Factory,Action|Indie,2D Fighter|Fighting|Rhythm|Puzzle|Anime|Indie|Casual|Arcade|Cartoony|Psychedelic|Multiplayer|Singleplayer|Psychological Horror|Retro|Combat|Action|Music|2D|Character Action Game|Abstract,Positive,23,0,0
857600,Fight the Horror,12.49,2019,Fight the Horror is a multiplayer third person action role playing game with a horror theme.,4DMACAU,4DMACAU,Action|Indie,Gore|Violent|Survival Horror|Nudity|Action|Indie|Puzzle|Horror,Mixed,48,0,0
856060,蝶生梦影-Butterfly dream shadow,2.39,2019,"Player Sui Mu is an egg that was killed in an accident on the way to his predecessor's wedding. But fortunately, she was selected by the West as a 'system'. As long as she completes the designated mission, she can have an opportunity to regenerate.",闪金游戏,闪金游戏,Casual,Casual|Visual Novel|Otome|Anime|Interactive Fiction|Word Game|2D|Romance|Fantasy|Emotional|Story Rich|Female Protagonist|Singleplayer|Early Access|Psychological Horror|Soundtrack,Positive,28,0,0
856130,Dark SASI,0.99,2018,"As you progress through the game level of difficulty will increase, so that Dark SASI will be for you the most serious game test. Can you survive thousands of deaths? Dark SASI is an adventure in the style of an RPG, with its own characteristics.",Narko Games,Narko Games,Action|Adventure|Indie|RPG|Simulation|Sports|Strategy,Adventure|Indie|Violent|Souls-like|Gore|RPG|Action|Sports|Simulation|Strategy|Psychological Horror|Story Rich|Sexual Content,Mixed,282,0,0
856220,DON'T DIE!,0.99,2019,Find a key...Open the door.TRY DON'T DIE!,DEKLAZON,DEKLAZON,Action,Action Roguelike|Action|Roguelite|Horror|Zombies|2D|Difficult|Singleplayer|Dark|Short|Atmospheric|Retro|Experimental|Cute|Pixel Graphics|Dungeon Crawler|Psychological Horror|Great Soundtrack,Positive,39,0,0
856310,Seul (Alone): The entrée,2.49,2018,Seul. (Alone) is a text based choose your own adventure and philosophical thriller with horror elements. A subsistence where characters dwell. There are mysteries to solve and connections to unfold. Journey through here but remember you may not stay. Can you save Peggy?,Paranormal Games,Paranormal Games,Adventure|Indie|RPG,Adventure|RPG|Gore|Indie|Text-Based|Visual Novel|Story Rich|Horror|Choose Your Own Adventure|Mystery|Multiple Endings|Philosophical|Surreal|Psychological Horror|Dark|Thriller,4 user reviews,,0,0
855320,18 Floors,12.49,2018,"In Ancient Eastern Mythology, miscreants and sinners who have lived a life of evil and deception are sent to “18 Floors” after death. Their souls are doomed to suffer an endless torture, forever cursed with pain and anguish, as punishment for their wicked lives.  In 1930, a young Eastern woman was brutally murdered on a train.",Aoga Games, Aoga Games,Adventure|Casual|Indie,Puzzle Platformer|Immersive Sim|Dungeon Crawler|Puzzle|Underground|Detective|Strategy|RPG|VR|360 Video|3D|3D Vision|FMV|Trains|Mystery|Thriller|Crime|First-Person|Psychological Horror|Horror,Mixed,27,0,0
855630,Zeliria Sanctuary,8.19,2019,"Sense of reality has not yet returned after a teleportation experiment. Purple hamsters, girls with tails, medieval knights - a fantastic world of an alien planet, where you will lead special forces soldier Maxx.",Salangan Games,Phoenix_co,Adventure|Indie,Adventure|Sexual Content|Visual Novel|Indie|Nudity|Anime|Violent|Choose Your Own Adventure|Fantasy|2D|Story Rich|Text-Based|Multiple Endings|Drama|Emotional|Unforgiving|Medieval|Horror|Addictive|Blood,Very Positive,641,390,390
855190,The Subject,3.99,2018,"You have been taken prisoner and sold to a deep space testing facility. Upon arrival, you are fitted with a device forcing you to participate in their experiment. Released into a massive complex, the dark halls wind around testing rooms and conceal pieces to puzzles. There is no option but to comply.",DarkStone Digital,DarkStone Digital,Adventure|Indie,Sci-fi|Puzzle|Horror|Walking Simulator|Adventure|Survival Horror|Survival|Exploration|First-Person|Indie|Atmospheric|Realistic|Mystery|Surreal|Thriller|Hidden Object|VR|Story Rich|Dark|Singleplayer,Mixed,46,0,0
854550,Scary Maze,0.79,2018,"Scary Maze is an exciting horror-action hybrid where you run through a maze killing zombies, ready to eat you as soon as they can.",Video Game,Video Game,Action,Action|Horror|Psychological Horror|Atmospheric|Sexual Content|Memes|Gore|Walking Simulator|Nudity|Zombies|FPS|Roguelike,Mixed,24,0,0
854600,Pamali: Indonesian Folklore Horror Demo,0.0,2018,"Pamali is an Indonesian folklore horror containing four chosen episodes, with ghosts such as Kuntilanak, Pocong, Tuyul, and Leak. Experience various Indonesian taboos and culture that shape the horror itself.",StoryTale Studios,StoryTale Studios,Gore|Adventure|Indie,Indie|Adventure|Horror|Story Rich|Singleplayer|Choices Matter|Multiple Endings|Walking Simulator|Multiplayer|Point & Click|Gore|Atmospheric|First-Person,Very Positive,527,0,0
854570,Pamali: Indonesian Folklore Horror,14.79,2018,"A narrative horror game set in the daily lives of Indonesian society. Interact with various mystical objects as you explore haunted places, unravel their lingering mysteries, and experience how Indonesian myth, taboo and culture, combined with your choices, shape the course of your nights.",Storytale,Storytale|Maple Whispering Limited,Adventure|Indie,Indie|Adventure|Horror|Story Rich|Singleplayer|Choices Matter|Multiple Endings|Walking Simulator|Multiplayer|Point & Click|Gore|Atmospheric|First-Person,Very Positive,527,112,112
854680,DeepLands,6.89,2020,"You have just bought a new house, strange things start to happen, and then! you find yourself in a dark and lonely place. Now you have to find a way home, and survive the DeepLands!",Tim Venekamp,Tim Venekamp,Adventure|Casual|Indie,Casual|Adventure|Indie|Action|Action-Adventure|Platformer|Puzzle|Roguelike|Walking Simulator|3D Platformer|Dungeon Crawler|Puzzle Platformer|Runner|First-Person|3D|Realistic|Stylized|Horror|Crafting|Dark,4 user reviews,,0,0
854870,Perseverance: Part 1,0.0,2018,"Perseverance is a horror/drama visual novel about survival and redemption. In Part 1 you play as Jack, a father who is struggling to keep his family together and finds himself in the middle of horrific events.",Titanite Novels|Titanite Games S.A.,Feardemic,Adventure|Indie,Adventure|Indie|Visual Novel|Horror|Zombies|Drama|Story Rich|Choices Matter|Violent|Mature|Comic Book|Stylized|2D|Anime|Dark|Mystery|Atmospheric|Linear|Narration|Conversation,Very Positive,139,0,0
853480,Pestis,24.5,2018,"A young Plague Doctor, only to learn that the Academy sent to a small village, which, like the whole country is gripped by plague",DIEDEMOR STUDIO GAMES,Laush Studio,Indie|Simulation,Horror|Education|Outbreak Sim|Medical Sim|Survival|Exploration|Open World|Medieval|Science|Crafting|Tutorial|Perma Death|2D|Historical|Choices Matter|Simulation|Hand-drawn|Dystopian|Logic|Mythology,Mostly Positive,88,3,3
853240,The Light Keeps Us Safe,15.99,2019,"THE LIGHT KEEPS US SAFE is a procedurally-generated apocalypse in which only The Light can save us. Use stealth and evasion to avoid terrifying machines that patrol the desolate world, and employ the powers of Light to unpick their deadly traps.",Big Robot Ltd,Big Robot Ltd,Action|Indie,Action|Indie|Stealth|Horror|First-Person|Robots|Procedural Generation|Dark|Psychological Horror|Early Access|Psychological|Violent|Survival Horror|Strategy|Exploration|Atmospheric|Singleplayer|Sci-fi|Story Rich|Shooter,Mixed,125,0,0
853250,신기록 : A Compendium of Ghosts,0.0,2018,"'신기록 : A Compendium of Ghosts' is a role-playing game based on the webtoon of the same name. Sang returns home as a fully fledged hunter. On his way, he gets caught up in a very strange event. You have to accompany him on his journey to gather clues and puzzle out what is going on.",Team 33,Team 33,Adventure|Casual|Free To Play|Indie|RPG,Free to Play|Indie|RPG|Adventure|Casual|RPGMaker|Horror,Very Positive,98,1,1
852590,Alone In The Forest VR,0.0,2018,"Explore the forest, solve the puzzles, start the generators and call for help. Use the flashlight to defend yourself from the 'thing' that tries to kill you.",Ovidiu Chis,Ovidiu Chis,Action|Indie|Free To Play,Action|Indie|Free to Play|Puzzle|Horror|VR,Positive,12,0,0
852720,Voxel Tanks,0.59,2018,Voxel Tanks - hardcore and dynamic top-down arena shooter with voxel graphics and chiptune music.,PigeonDev,PigeonDev,Action|Casual|Indie,Action|Top-Down Shooter|Tanks|Shooter|Arena Shooter|Indie|Casual|Voxel|Top-Down|Destruction|Shoot 'Em Up|Isometric|3D|Pixel Graphics|Horror|Military|Tactical|Combat|Local Multiplayer|Multiplayer,Mostly Positive,40,0,0
852760,D.F.R.: The Light VR,0.79,2018,"Unprepared and helpless, you are taken to a dark place where a mysterious light hunts you. In this relentlessly terrifying survival horror game, you must use your wits to stay alive and extinguish the light, or perish trying. But be warned: the light is crafty and observant, so this won't be easy.",Nothing Rhymes With Entertainment,Nothing Rhymes With Entertainment,Action|Adventure|Indie,Action|Adventure|Indie|VR|Horror,1 user reviews,,0,0
852090,Penko Park,13.79,2020,Snap pictures of spooky creatures &amp; explore an abandoned wildlife park.,Ghostbutter,Ghostbutter,Adventure|Indie|Simulation,Creature Collector|Cute|Collectathon|Colorful|Horror|Exploration|Nature|Family Friendly|Photo Editing|Atmospheric|Hunting|Relaxing|Hand-drawn|Casual|Funny|Surreal|Adventure|Mystery|Post-apocalyptic|Short,Overwhelmingly Positive,509,0,0
852180,BunkerRush,1.59,2018,"Interesting adventure for everyone.If you like the bunker management stuff,this is your game.",Luxuria,Luxuria,Action|Adventure|Indie|Simulation|Strategy,Strategy|Action|Adventure|Indie|Simulation|Nudity|Survival Horror|Gore|Violent|Horror|Building,Mixed,20,0,0
851050,PaperDolls,1.32,2018,PaperDolls VR is a first-person VR horror game with oriental features. Explore the ancient ruins of the late Qing dynasty and search for your daughter . A complete story line goes through the whole game,"Beijing Litchi Culture Media Co., Ltd.","Beijing Litchi Culture Media Co., Ltd.",Action|Adventure|Indie,Action|Adventure|Indie|VR|Survival Horror|Horror,Mixed,86,0,0
851250,Sleeping Dawn VR,7.99,2018,"Sleeping Dawn VR is a survival horror cooperative game up to 4 players in virtual reality. Join into this confusing procedural maze with your friends, cooperate with them, make quick choices while facing your deepest fear in first person. Get lost... has never been so real.",Effimera Studio,Effimera Studio,Action|Adventure|Casual|Indie,Action|Adventure|Indie|Casual|Survival Horror|Procedural Generation|VR,8 user reviews,,0,0
850550,World of Virtual Reality VR,1.59,2018,World of Virtual Reality VR allows you to play in Different World's and Game Categories. It's a All in one Game!,Shadowless Gaming|Tamer Gölgesiz,Shadowless Gaming|Tamer Gölgesiz,Action|Adventure|Casual|Sports,Action|Adventure|Casual|Sports|Gore|Violent|VR|Shooter|Zombies|Horror|Psychological Horror|Space|Relaxing|Thriller|Demons,No user reviews,,0,0
850000,Noel the Mortal Fate S1-7,7.49,2018,"This is a story about the revenge of a girl who lost her arms and legs to a devil... Noel The Mortal Fate is a charismatic adventure game, now available worldwide on Steam in English, Japanese and Simplified Chinese with seasons 1 - 7 available now in one package.",Vaka Game Magazine|KANAWO,Vaka Game Magazine,Adventure|Indie|RPG,Adventure|RPG|RPGMaker|Indie|Anime|Story Rich|Female Protagonist|2D|Cute|Singleplayer|Puzzle|Casual|Horror|Visual Novel|LGBTQ+|Psychological Horror|Dark Fantasy|Great Soundtrack|Classic|Nudity,Very Positive,30,291,291
850310,Deadly Station,0.0,2018,Discover thet dark story of this space station and find a way out.,RPG Adventures Team,RPG Adventures Team,Action|Adventure,Adventure|Action|RPG|Survival Horror|RPGMaker|Free to Play,Mixed,46,0,0
850450,Escape First,5.89,2018,"&quot;Escape First&quot; is a multiplayer escape room puzzle game for virtual reality or desktop PC! It includes 3 different escape rooms to choose from and can be played competitively, co-op or solo.",OnSkull Games,OnSkull Games,Adventure|Casual|Indie,Adventure|Puzzle|Casual|Multiplayer|Co-op|Horror|VR|Simulation|Online Co-Op|Exploration|Hidden Object|Colorful|First-Person|3D|Realistic|Psychological Horror|Investigation|Mystery|PvP|Survival Horror,Mixed,368,128,136
849520,Rheum,2.99,2018,"Jump down the esophagus of a body plagued by viruses and big bad bosses in this reverse vertical scrolling shoot'em up! Collect eye crusties, upgrade your pupils, and clear the screen of bullets with your cornea crushing eye blasts!",SpaceMyFriend,SpaceMyFriend,Action|Adventure|Indie,Bullet Hell|Shoot 'Em Up|Top-Down Shooter|Difficult|Shooter|Arcade|2D|Horror|Controller|Action|Pixel Graphics|Adventure|Retro|Old School|Singleplayer|Blood|Indie,Mostly Positive,17,0,0
849370,Gray Dawn Demo,0.0,2018,Embark on a terrifying adventure of a priest accused of murdering an altar boy. Gray Dawn is a psychological thriller infused with religious elements and combines story-driven quests with an artistic experience.,Interactive Stone,Interactive Stone,Adventure|Indie,Adventure|Indie|Psychological Horror|Story Rich|Thriller|Lovecraftian|Horror|Singleplayer|Gore|Nudity|Violent|Walking Simulator|Atmospheric|First-Person|Mystery|Exploration|Puzzle|Supernatural|Surreal|Psychedelic,Very Positive,12,0,0
